proposed_regionturf,location,latitude,longitude,van_precinct_name,van_precinct_id,Region,fo_name,county
R01,Inner NOVA,38.85381487,-77.09455682,101 - Precinct 101,2257734,R01,R01D - Barcroft,ARLINGTON
R02,Fairfax,38.88459914,-77.29898868,727 - Oakton,295963,R02,R02I - Vienna,FAIRFAX
R03,Loudoun,38.94231621,-77.53486505,119 - Arcola,1594345,R03,R03G - South Riding,LOUDOUN
R04,Prince Williams,38.67874359,-77.28430405,506 - Old Bridge,296717,R04,R04F - Lake Ridge,PRINCE WILLIAM
R05,Fredericksburg,38.21877307,-77.55736559,103 - John J Wright,296922,R05,R05C - HD 66,SPOTSYLVANIA
R06/7,Richmond,37.53000666,-77.49287061,402 - Four Hundred Two,297504,R07,R07G - South Garden,RICHMOND CITY
R08,Newport News,37.08870864,-76.45697751,319 - Saunders,297366,R08,R08F - Port Warwick,NEWPORT NEWS CITY
R10,Virginia Beach,36.82354058,-76.09977164,036 - Precinct 36,297662,R10,R10C - HD 97,VIRGINIA BEACH CITY
R10,Norfolk,36.88711985322262,-76.26026094766804,218 - Willard,297393,R10,R10D - West Norfolk,NORFOLK CITY
R11,Williamsburg,37.29610488,-76.74853676,202 - Jamestown B,296339,R11,R11C - HD 71,JAMES CITY
R12,Harrisonburg,38.09345565,-79.16308085,502 - Middlebrook,295490,R12,R12D - Staunton,AUGUSTA
R13,Blacksburg,37.01433609,-79.97897189,502 - Callaway,296061,R13,R13A -  Greater CD9,FRANKLIN
R14,Charlottesville,37.84382675,-78.42929304,401 - Cunningham,296044,R14,R14C - S Charlottesville,FLUVANNA
