proposed_regionturf,Location,latitude,longitude,van_precinct_name,van_precinct_id,Region,fo_name,county
R01A,East Alexandria,38.809613153,-77.056368695,104 - Durant Center,297095,R01,R01A - Alexandria,ALEXANDRIA CITY
R01B,Arlington,38.8750438,-77.0981899,102 - Precinct 102,2257719,R01,R01E - Clarendon,ARLINGTON
R01f,Crystal City,38.844909092,-77.062406127,103 - Precinct 103,2257680,R01,R01F - Crystal City,ARLINGTON
R01I,West End Alexandria,38.812810112,-77.124249566,304 - Tucker School,297112,R01,R01I - Westend Alexandria,ALEXANDRIA CITY
R01I,West End Alexandria,38.812810112,-77.124249566,303 - Charles E Beatley Library,297111,R01,R01I - Westend Alexandria,ALEXANDRIA CITY
R02E,Falls Church,38.87342544,-77.174965329,535 - Fort Buffalo,295945,R02,R02E - Falls Church,FAIRFAX
R02A,Annandale,38.830807941,-77.211169459,106 - Heritage,295794,R02,R02A - Annandale,FAIRFAX
R02H,Reston,38.954164068,-77.349124871,208 - Reston #1,295818,R02,R02H - Reston,FAIRFAX
R02I,Vienna,38.906023413,-77.260969809,214 - Vienna #2,295821,R02,R02I - Vienna,FAIRFAX
R02B,Centerville,38.84022938,-77.443610582,924 - Spindle,296013,R02,R02B - Centreville,FAIRFAX
R03B,HD-21 (Thomas),38.809501923,-77.591486292,407 - Heritage Hunt,296709,R03,R03B - HD 21,PRINCE WILLIAM
R03E,Manassas,38.748025878,-77.474324284,005 - Baldwin,297315,R03,R03E - Manassas,MANASSAS CITY
R03Z,Ashburn,39.022897499,-77.496285994,819 - West Broad Run,1594355,R03,R03A - Ashburn,LOUDOUN
R03F,Warrenton,38.722722357,-77.771345197,103 - Casanova,296020,R03,R03F - Fauquier,FAUQUIER
R03D,Leesburg,39.102933992,-77.539740613,509 - Tolbert,296420,R03,R03D - Leesburg,LOUDOUN
R03C,HD-30 (McAuliffe),39.045690327,-77.658504445,409 - Clarkes Gap,296419,R03,R03C - HD 30,LOUDOUN
R04I,Mount Vernon,38.711005,-77.088276,613 - Westgate,295929,R04,R04I - Woodbridge,FAIRFAX
R04I,Woodbridge,38.647163793,-77.313642481,604 - Gar-Field,2228443,R04,R04A - Dale City,PRINCE WILLIAM
R04A,Springfield,38.769193978,-77.215770412,431 - West Springfield,295982,R04,R04H - West Springfield,FAIRFAX
R04B,Dumfries,38.584190309,-77.314877093,315 - Williams,1992183,R04,R04B - Dumfries,PRINCE WILLIAM
R04E,Hd-64 (Carroll - Stafford),38.44864892,-77.435592861,704 - Poole,2257705,R04,R04E - HD 64,STAFFORD
R04B,HD-22 (Guzman),38.737930494,-77.539775777,108 - Victory,296679,R04,R04D - HD 22,PRINCE WILLIAM
R05B,HD-65 (Cole),38.311676654,-77.480486294,201 - Precinct 1 - District Two,297235,R05,R05B - HD 65,FREDERICKSBURG CITY
R05E,Culpeper,38.473113373,-78.011348317,101 - West Fairfax,295742,R05,R05E - West,CULPEPER
R05A,Tapphanock,37.922423283,-76.865920575,101 - Greater Tappahannock,295787,R05,R05A - East,ESSEX
R05C,HD-66,38.159874952,-77.500215005,104 - Massaponax High,296923,R05,R05C - HD 66,SPOTSYLVANIA
R06E,Ashland,37.760739091,-77.47691144,105 - Berkley,1569587,R06,R06E - Hanover,HANOVER
R06B,HD-57,37.639209,-77.6588237,403 - West Creek,2461862,R06,R06B - HD 57,GOOCHLAND
R06D,Mechanicsville,37.641386947,-77.360630064,502 - Rural Point,296187,R06,R06D - Mechanicsville,HANOVER
R06H,Tuckahoe,37.596421535,-77.568818058,410 - Pemberton,296266,R06,R06G - West Henrico,HENRICO
R06G,Glenn Allen,37.669872979,-77.550427999,101 - Coalpit,296201,R06,R06B - HD 57,HENRICO
R07C,HD-75 (Chester),37.351380691,-77.399482794,110 - Dutch Gap,295669,R07,R07C - HD 75,CHESTERFIELD
R07H,Midlow,37.462851741,-77.650832882,415 - Evergreen,295692,R07,R07B - HD 73,CHESTERFIELD
R07F,Chesterfield,37.392050106,-77.589216866,315 - Bailey Bridge,295694,R07,R07F - South Chesterfield,CHESTERFIELD
R07A,East Henrico,37.509432086,-77.348222181,510 - Laburnum,296282,R07,R07A - East,HENRICO
R07D,Rockets Landing,37.520658775,-77.433533564,609 - Six Hundred Nine,297524,R07,R07D - Rocketts Landing,RICHMOND CITY
R07B,HD73,37.438531011,-77.674874328,411 - Swift Creek,295707,R07,R07B - HD 73,CHESTERFIELD
R08B,HD69,37.220935107,-76.597679541,501 - Roberts A,296345,R08,R08B - HD 69,JAMES CITY
R08A,Hampton,37.041710667,-76.372199325,108 - Thomas,297251,R08,R08A - Hampton,HAMPTON CITY
R08D,Newport News,37.088568721,-76.491295957,219 - Deer Park,297348,R08,R08F - Port Warwick,NEWPORT NEWS CITY
R08C,HD86,37.065954285,-76.34532572,209 - Langley,297270,R08,R08C - HD 86,HAMPTON CITY
R09A,Chesapeake,36.767167024,-76.288525193,005 - Crestwood,297136,R09,R09F - East Portsmouth,CHESAPEAKE CITY
R09B,HD84,36.799758572,-76.567400985,202 - Chuckatuck,297604,R09,R09B - HD 84,SUFFOLK CITY
R09E/F,Portsmouth,36.833404981,-76.352796513,024 - The Senior Station,297460,R09,R09E - West Portsmouth,PORTSMOUTH CITY
R09C,HD89,36.76945986,-76.443809829,028 - Sunray I,297159,R09,R09C - HD 89,CHESAPEAKE CITY
R10F,Eastern Shore,37.640384414,-75.742244786,802 - Melfa,295349,R10,R10F - North,ACCOMACK
R10D,Norfolk,36.886577448,-76.257610531,305 - Lafayette-Winona,297398,R10,R10E - Norfolk Central,NORFOLK CITY
R10A,Virginia Beach,36.822055522,-76.106338495,036 - Precinct 36,297662,R10,R10C - HD 97,VIRGINIA BEACH CITY
R10C,HD97,36.8211537,-76.1147713,036 - Precinct 36,297662,R10,R10C - HD 97,VIRGINIA BEACH CITY
R10E/J,Central/East Norfolk,36.865799121,-76.195979574,409 - Fairlawn,297414,R10,R10J - East Norfolk,NORFOLK CITY
R11C,HD-71,37.4144195,-76.8450264,303 - Powhatan C,296342,R11,R11C - HD 71,JAMES CITY
R11A,Emporia,36.689443899,-77.553175905,301 - Precinct 3-1,297212,R11,R11A - Emporia,EMPORIA CITY
R11E,Colonial Heights,37.263504096,-77.402590149,004 - Fourth,297186,R11,R11E - Colonial Heights / Chesterfield,COLONIAL HEIGHTS CITY
R11D,HD82,37.1247308,-77.2860806,102 - Templeton,296662,R11,R11D - HD 82,PRINCE GEORGE
R11B,Gloucester,37.373679029,-76.531745858,301 - White Marsh,296104,R11,R11B - Gloucester,GLOUCESTER
R12C,Roanoke,37.280683269,-79.963415542,019 - Forest Park,1866924,R12,R12C - South Roanoke,ROANOKE CITY
R12B,Salem,37.2899073,-80.064803525,009 - South Side Hills,297592,R12,R12B - North Roanoke,SALEM CITY
R12D,Staunton,38.152409424,-79.076092158,501 - Ward No 5,297598,R12,R12D - Staunton,STAUNTON CITY
R12A,Harrisonburg,38.44268155,-78.869556341,102 - East Central,297280,R12,R12A - Harrisonburg,HARRISONBURG CITY
R12E,Winchester,39.178320928,-78.168025206,101 - Merrimans,297719,R12,R12E - Winchester,WINCHESTER CITY
R13D,HD41 - Blacksburg,37.233596237,-80.415080725,701 - Precinct G-1,296531,R13,R13D - HD 41,MONTGOMERY
R13D,HD41 - Roanoke,37.21373849,-80.047649909,302 - Back Creek,2274026,R13,R13D - HD 41,ROANOKE
R13A,Martinsville,36.686425473,-79.858341861,002 - Precinct #2,297317,R13,R13A -  Greater CD9,MARTINSVILLE CITY
R13C,Danville,36.600083782,-79.410103503,010 - Ward Ten,297202,R13,R13C - The Hollers,DANVILLE CITY
R13B,Washington Co.,36.698896347,-81.98041985,302 - South Abingdon,297036,R13,R13B - Galax,WASHINGTON
R13E,Lynchburg,37.392206938,-79.19087941,403 - Fourth Ward Third Precinct,297307,R13,R13E - Lynchburg,LYNCHBURG CITY
R14D,Farmville,37.299093807,-78.404785343,701 - West End,296659,R14,R14D - South,PRINCE EDWARD
R14A,Goochland,37.694387557,-77.820227839,302 - Randolph,1569584,R14,R14A - Central,GOOCHLAND
R14B/E,North Charlottesville,38.06511518,-78.497075964,203 - Georgetown,295362,R14,R14E - UV,ALBEMARLE
R14C,Albemarle,38.053533728,-78.515602547,202 - University,295361,R14,R14E - UV,ALBEMARLE
